cv19_activos,cv19_curados,cv19_fallecidos,cv19_total_casos,fecha_datos,isla,municipio,poblacion
860.0,,,,14/10/2020,TENERIFE,La Laguna,158911
1000.0,,,,27/10/2020,TENERIFE,La Laguna,158911
1026.0,,,,28/10/2020,TENERIFE,La Laguna,158911
1043.0,,,,29/10/2020,TENERIFE,La Laguna,158911
1088.0,,,,30/10/2020,TENERIFE,La Laguna,158911
,,,,31/10/2020,TENERIFE,La Laguna,158911
1136.0,,,,01/11/2020,TENERIFE,La Laguna,158911
,,,,02/11/2020,TENERIFE,La Laguna,158911
1075.0,,,,03/11/2020,TENERIFE,La Laguna,158911
996.0,,,,04/11/2020,TENERIFE,La Laguna,158911
917.0,,,,05/11/2020,TENERIFE,La Laguna,158911
,,,,06/11/2020,TENERIFE,La Laguna,158911
,,,,07/11/2020,TENERIFE,La Laguna,158911
,,,,08/11/2020,TENERIFE,La Laguna,158911
956.0,,,,09/11/2020,TENERIFE,La Laguna,158911
949.0,,,,10/11/2020,TENERIFE,La Laguna,158911
,,,,11/11/2020,TENERIFE,La Laguna,158911
,,,,12/11/2020,TENERIFE,La Laguna,158911
,,,,13/11/2020,TENERIFE,La Laguna,158911
803.0,,,,14/11/2020,TENERIFE,La Laguna,158911
803.0,,,,15/11/2020,TENERIFE,La Laguna,158911
809.0,,,,16/11/2020,TENERIFE,La Laguna,158911
791.0,,,,17/11/2020,TENERIFE,La Laguna,158911
767.0,,,,18/11/2020,TENERIFE,La Laguna,158911
748.0,,,,19/11/2020,TENERIFE,La Laguna,158911
718.0,,,,20/11/2020,TENERIFE,La Laguna,158911
708.0,,,,21/11/2020,TENERIFE,La Laguna,158911
,,,,22/11/2020,TENERIFE,La Laguna,158911
768.0,,,,23/11/2020,TENERIFE,La Laguna,158911
773.0,,,,24/11/2020,TENERIFE,La Laguna,158911
802.0,,,,25/11/2020,TENERIFE,La Laguna,158911
,,,,26/11/2020,TENERIFE,La Laguna,158911
866.0,,,,27/11/2020,TENERIFE,La Laguna,158911
