cv19_activos,cv19_curados,cv19_fallecidos,cv19_total_casos,fecha_datos,isla,municipio,poblacion
,4.0,,4.0,22/05/2021,TENERIFE,Garachico,4869
216.0,3350.0,39.0,3516.0,22/05/2021,LANZAROTE,Arrecife,64645
18.0,189.0,2.0,188.0,22/05/2021,TENERIFE,La Orotava,42187
,26.0,1.0,22.0,22/05/2021,TENERIFE,La Matanza de Acentejo,9059
5.0,18.0,1.0,22.0,22/05/2021,TENERIFE,Santiago del Teide,11281
1.0,16.0,,17.0,22/05/2021,TENERIFE,San juan de La Rambla,4873
2.0,101.0,1.0,99.0,22/05/2021,LANZAROTE,Tías,20628
1.0,20.0,,12.0,22/05/2021,TENERIFE,Arico,8111
,2.0,,2.0,22/05/2021,LA GOMERA,Valle Gran Rey,4630
1.0,58.0,,53.0,22/05/2021,GRAN CANARIA,Mogán,20487
,13.0,,13.0,22/05/2021,GRAN CANARIA,Vega de San Mateo,7569
,4.0,,4.0,22/05/2021,FUERTEVENTURA,Antigua,12972
21.0,206.0,,201.0,22/05/2021,TENERIFE,Los Realejos,36727
1.0,32.0,,33.0,22/05/2021,LANZAROTE,San Bartolomé,19099
1.0,3.0,,4.0,22/05/2021,LA PALMA,Tijarafe,2507
2.0,84.0,2.0,79.0,22/05/2021,TENERIFE,Icod de Los Vinos,23316
3.0,40.0,,39.0,22/05/2021,LANZAROTE,Yaiza,17040
12.0,85.0,1.0,88.0,22/05/2021,LA PALMA,Los Llanos de Aridane,20760
4.0,95.0,,96.0,22/05/2021,GRAN CANARIA,Ingenio,31694
489.0,,119.0,10534.0,22/05/2021,GRAN CANARIA,Las Palmas de Gran Canaria,381223
,6.0,1.0,7.0,22/05/2021,LA GOMERA,Alajeró,2026
2.0,26.0,,27.0,22/05/2021,LA PALMA,Santa Cruz de La Palma,15695
1.0,9.0,,9.0,22/05/2021,LA PALMA,Breña Baja,5821
,12.0,,12.0,22/05/2021,GRAN CANARIA,Agaete,5599
,59.0,1.0,56.0,22/05/2021,GRAN CANARIA,Agüimes,31914
6.0,51.0,,51.0,22/05/2021,TENERIFE,El Sauzal,8940
,9.0,,9.0,22/05/2021,LANZAROTE,Haría,5263
,3.0,,2.0,22/05/2021,EL HIERRO,El Pinar,1894
