fecha_datos,cv19_activos,isla,municipio,poblacion,cv19_total_casos,cv19_fallecidos,cv19_curados
14/10/2020,860,TENERIFE,La Laguna,158911,,,
27/10/2020,1000,TENERIFE,La Laguna,158911,,,
28/10/2020,1026,TENERIFE,La Laguna,158911,,,
29/10/2020,1043,TENERIFE,La Laguna,158911,,,
30/10/2020,1088,TENERIFE,La Laguna,158911,,,
31/10/2020,,TENERIFE,La Laguna,158911,,,
01/11/2020,1136,TENERIFE,La Laguna,158911,,,
02/11/2020,,TENERIFE,La Laguna,158911,,,
03/11/2020,1075,TENERIFE,La Laguna,158911,,,
04/11/2020,996,TENERIFE,La Laguna,158911,,,
05/11/2020,917,TENERIFE,La Laguna,158911,,,
06/11/2020,,TENERIFE,La Laguna,158911,,,
07/11/2020,,TENERIFE,La Laguna,158911,,,
08/11/2020,,TENERIFE,La Laguna,158911,,,
09/11/2020,956,TENERIFE,La Laguna,158911,,,
10/11/2020,949,TENERIFE,La Laguna,158911,,,
11/11/2020,,TENERIFE,La Laguna,158911,,,
12/11/2020,,TENERIFE,La Laguna,158911,,,
13/11/2020,,TENERIFE,La Laguna,158911,,,
14/11/2020,803,TENERIFE,La Laguna,158911,,,
15/11/2020,803,TENERIFE,La Laguna,158911,,,
16/11/2020,809,TENERIFE,La Laguna,158911,,,
17/11/2020,791,TENERIFE,La Laguna,158911,,,
18/11/2020,767,TENERIFE,La Laguna,158911,,,
19/11/2020,748,TENERIFE,La Laguna,158911,,,
20/11/2020,718,TENERIFE,La Laguna,158911,,,
21/11/2020,708,TENERIFE,La Laguna,158911,,,
22/11/2020,,TENERIFE,La Laguna,158911,,,
23/11/2020,768,TENERIFE,La Laguna,158911,,,
24/11/2020,773,TENERIFE,La Laguna,158911,,,
25/11/2020,802,TENERIFE,La Laguna,158911,,,
26/11/2020,,TENERIFE,La Laguna,158911,,,
27/11/2020,866,TENERIFE,La Laguna,158911,,,
28/11/2020,881,TENERIFE,La Laguna,158911,,,
29/11/2020,908,TENERIFE,La Laguna,158911,,,
30/11/2020,957,TENERIFE,La Laguna,158911,,,
01/12/2020,941,TENERIFE,La Laguna,158911,,,
02/12/2020,941,TENERIFE,La Laguna,158911,,,
03/12/2020,956,TENERIFE,La Laguna,158911,,,
04/12/2020,,TENERIFE,La Laguna,158911,,,
05/12/2020,995,TENERIFE,La Laguna,158911,,,
06/12/2020,,TENERIFE,La Laguna,158911,,,
07/12/2020,995,TENERIFE,La Laguna,158911,,,
08/12/2020,995,TENERIFE,La Laguna,158911,,,
09/12/2020,995,TENERIFE,La Laguna,158911,,,
10/12/2020,,TENERIFE,La Laguna,158911,,,
11/12/2020,1292,TENERIFE,La Laguna,158911,,,
12/12/2020,,TENERIFE,La Laguna,158911,,,
13/12/2020,1317,TENERIFE,La Laguna,158911,,,
14/12/2020,1317,TENERIFE,La Laguna,158911,,,
15/12/2020,1391,TENERIFE,La Laguna,158911,,,
16/12/2020,1395,TENERIFE,La Laguna,158911,,,
17/12/2020,1420,TENERIFE,La Laguna,158911,,,
18/12/2020,1429,TENERIFE,La Laguna,158911,,,
19/12/2020,,TENERIFE,La Laguna,158911,,,
20/12/2020,1431,TENERIFE,La Laguna,158911,,,
21/12/2020,1431,TENERIFE,La Laguna,158911,,,
22/12/2020,1530,TENERIFE,La Laguna,158911,,,
23/12/2020,1518,TENERIFE,La Laguna,158911,,,
24/12/2020,1502,TENERIFE,La Laguna,158911,,,
25/12/2020,1536,TENERIFE,La Laguna,158911,,,
26/12/2020,1536,TENERIFE,La Laguna,158911,,,
27/12/2020,1536,TENERIFE,La Laguna,158911,,,
28/12/2020,1536,TENERIFE,La Laguna,158911,,,
29/12/2020,1599,TENERIFE,La Laguna,158911,,,
30/12/2020,1625,TENERIFE,La Laguna,158911,,,
31/12/2020,1593,TENERIFE,La Laguna,158911,,,
01/01/2021,,TENERIFE,La Laguna,158911,,,
02/01/2021,1593,TENERIFE,La Laguna,158911,,,
03/01/2021,1593,TENERIFE,La Laguna,158911,,,
04/01/2021,,TENERIFE,La Laguna,158911,,,
05/01/2021,1665,TENERIFE,La Laguna,158911,,,
06/01/2021,,TENERIFE,La Laguna,158911,,,
07/01/2021,1627,TENERIFE,La Laguna,158911,,,
08/01/2021,1631,TENERIFE,La Laguna,158911,,,
